[03:24:32 Msk] [TX_3] Фасилити: 0 | Интент: init | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: []
[03:24:42 Msk] [TX_103] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:24:42 Msk] [TX_106] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:24:42 Msk] [TX_109] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:24:56 Msk] [TX_112] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:24:56 Msk] [TX_115] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:24:56 Msk] [TX_118] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:24:57 Msk] [TOP_GEN] Целевой Канал Шины: 0 | Интент: SET_SLOT_FOCUS | Конечная цель фокуса: 108
[03:24:57 Msk] [TX_121] Фасилити: 0 | Интент: SET_SLOT_FOCUS | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: [10]
[03:24:58 Msk] [TX_126] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:24:58 Msk] [TX_129] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:24:58 Msk] [TX_132] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:24:58 Msk] [TX_135] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:24:58 Msk] [TX_138] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:24:58 Msk] [TX_141] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:24:58 Msk] [TX_144] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:24:58 Msk] [TX_147] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:24:58 Msk] [TX_150] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:24:58 Msk] [TX_153] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:24:59 Msk] [TX_156] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:24:59 Msk] [TX_159] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:24:59 Msk] [TX_162] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:24:59 Msk] [TX_165] Фасилити: 108 | Интент: MOUSE_CLICK | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [10]
[03:25:00 Msk] [TX_168] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:25:00 Msk] [TX_171] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:25:00 Msk] [TX_174] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:25:00 Msk] [TX_177] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:25:00 Msk] [TX_180] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:25:00 Msk] [TX_183] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:25:00 Msk] [TX_186] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:29:17 Msk] [TX_3] Фасилити: 0 | Интент: init | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: []
[03:29:17 Msk] [TX_1] Фасилити: 9 | Интент: TRIGGER_RESIZE | Назначение (P1): 9 | Статус TX: READY | Трасса ORIGINS: []
[03:29:17 Msk] [TX_2] Фасилити: 11 | Интент: BOOT_LAYOUT_TREE | Назначение (P1): 11 | Статус TX: READY | Трасса ORIGINS: []
[03:29:17 Msk] [TX_6] Фасилити: 0 | Интент: SYNCHRONIZE_DYNAMIC_SLOT | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: [11]
[03:29:17 Msk] [TX_17] Фасилити: 12 | Интент: REGISTRATION_TAB_SPACE | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: []
[03:29:17 Msk] [TX_24] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [106]
[03:29:17 Msk] [TX_22] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [1]
[03:29:17 Msk] [TX_35] Фасилити: 9 | Интент: INJECT_GEO_MAP | Назначение (P1): 9 | Статус TX: READY | Трасса ORIGINS: [9]
[03:29:17 Msk] [TX_27] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [102]
[03:29:17 Msk] [TX_30] Фасилити: 103 | Интент: INJECT_VFS_DATA | Назначение (P1): 103 | Статус TX: READY | Трасса ORIGINS: [103]
[03:29:17 Msk] [TX_28] Фасилити: 102 | Интент: INJECT_VFS_DATA | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [102]
[03:29:17 Msk] [TX_43] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [103]
[03:29:17 Msk] [TX_44] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [103]
[03:29:17 Msk] [TX_45] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[03:29:17 Msk] [TX_46] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[03:31:04 Msk] [TX_3] Фасилити: 0 | Интент: init | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: []
[03:31:04 Msk] [TX_1] Фасилити: 9 | Интент: TRIGGER_RESIZE | Назначение (P1): 9 | Статус TX: READY | Трасса ORIGINS: []
[03:31:04 Msk] [TX_2] Фасилити: 11 | Интент: BOOT_LAYOUT_TREE | Назначение (P1): 11 | Статус TX: READY | Трасса ORIGINS: []
[03:31:04 Msk] [TX_6] Фасилити: 0 | Интент: SYNCHRONIZE_DYNAMIC_SLOT | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: [11]
[03:31:04 Msk] [TX_17] Фасилити: 12 | Интент: REGISTRATION_TAB_SPACE | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: []
[03:31:04 Msk] [TX_24] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [106]
[03:31:04 Msk] [TX_22] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [1]
[03:31:04 Msk] [TX_35] Фасилити: 9 | Интент: INJECT_GEO_MAP | Назначение (P1): 9 | Статус TX: READY | Трасса ORIGINS: [9]
[03:31:04 Msk] [TX_27] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [102]
[03:31:04 Msk] [TX_30] Фасилити: 103 | Интент: INJECT_VFS_DATA | Назначение (P1): 103 | Статус TX: READY | Трасса ORIGINS: [103]
[03:31:04 Msk] [TX_28] Фасилити: 102 | Интент: INJECT_VFS_DATA | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [102]
[03:31:04 Msk] [TX_43] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [103]
[03:31:04 Msk] [TX_44] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [103]
[03:31:04 Msk] [TX_45] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[03:31:04 Msk] [TX_46] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:22 Msk] [TX_3] Фасилити: 0 | Интент: init | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: []
[03:44:22 Msk] [TX_1] Фасилити: 9 | Интент: TRIGGER_RESIZE | Назначение (P1): 9 | Статус TX: READY | Трасса ORIGINS: []
[03:44:22 Msk] [TX_2] Фасилити: 11 | Интент: BOOT_LAYOUT_TREE | Назначение (P1): 11 | Статус TX: READY | Трасса ORIGINS: []
[03:44:22 Msk] [TX_6] Фасилити: 0 | Интент: SYNCHRONIZE_DYNAMIC_SLOT | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: [11]
[03:44:22 Msk] [TX_17] Фасилити: 12 | Интент: REGISTRATION_TAB_SPACE | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: []
[03:44:22 Msk] [TX_24] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [106]
[03:44:22 Msk] [TX_22] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [1]
[03:44:22 Msk] [TX_35] Фасилити: 9 | Интент: INJECT_GEO_MAP | Назначение (P1): 9 | Статус TX: READY | Трасса ORIGINS: [9]
[03:44:22 Msk] [TX_27] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:22 Msk] [TX_30] Фасилити: 103 | Интент: INJECT_VFS_DATA | Назначение (P1): 103 | Статус TX: READY | Трасса ORIGINS: [103]
[03:44:22 Msk] [TX_28] Фасилити: 102 | Интент: INJECT_VFS_DATA | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:22 Msk] [TX_43] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [103]
[03:44:22 Msk] [TX_44] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [103]
[03:44:22 Msk] [TX_45] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:22 Msk] [TX_46] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:26 Msk] [TOP_GEN] Целевой Канал Шины: 0 | Интент: SET_SLOT_FOCUS | Конечная цель фокуса: 102
[03:44:26 Msk] [TX_55] Фасилити: 102 | Интент: MOUSE_CLICK | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:26 Msk] [TX_54] Фасилити: 0 | Интент: SET_SLOT_FOCUS | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:27 Msk] [TOP_GEN] Целевой Канал Шины: 0 | Интент: SET_SLOT_FOCUS | Конечная цель фокуса: 103
[03:44:27 Msk] [TX_61] Фасилити: 103 | Интент: MOUSE_CLICK | Назначение (P1): 103 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:27 Msk] [TX_60] Фасилити: 0 | Интент: SET_SLOT_FOCUS | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:28 Msk] [TX_66] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:28 Msk] [TX_69] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:28 Msk] [TX_72] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:28 Msk] [TX_75] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:28 Msk] [TX_78] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:28 Msk] [TX_81] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:28 Msk] [TX_84] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:28 Msk] [TX_87] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:28 Msk] [TX_90] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:29 Msk] [TOP_GEN] Целевой Канал Шины: 0 | Интент: SET_SLOT_FOCUS | Конечная цель фокуса: 102
[03:44:29 Msk] [TX_94] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:29 Msk] [TX_96] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:29 Msk] [TX_95] Фасилити: 102 | Интент: SWITCH_SLOT_TAB | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [12]
[03:44:29 Msk] [TX_93] Фасилити: 0 | Интент: SET_SLOT_FOCUS | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:29 Msk] [TX_100] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:29 Msk] [TX_101] Фасилити: 102 | Интент: INJECT_VFS_DATA | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:29 Msk] [TX_104] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:29 Msk] [TX_108] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:29 Msk] [TX_111] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:29 Msk] [TX_114] Фасилити: 14 | Интент: SCROLL_CONTENT_DOWN | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:30 Msk] [TX_117] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:30 Msk] [TX_120] Фасилити: 14 | Интент: SCROLL_CONTENT_UP | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:31 Msk] [TX_123] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:31 Msk] [TX_125] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:31 Msk] [TX_124] Фасилити: 102 | Интент: SWITCH_SLOT_TAB | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [12]
[03:44:31 Msk] [TX_129] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:31 Msk] [TX_130] Фасилити: 102 | Интент: INJECT_VFS_DATA | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:31 Msk] [TX_132] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:32 Msk] [TX_136] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:32 Msk] [TX_138] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:32 Msk] [TX_137] Фасилити: 102 | Интент: SWITCH_SLOT_TAB | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [12]
[03:44:32 Msk] [TX_142] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:32 Msk] [TX_143] Фасилити: 102 | Интент: INJECT_VFS_DATA | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:32 Msk] [TX_145] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:33 Msk] [TX_149] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:33 Msk] [TX_150] Фасилити: 104 | Интент: KEYBOARD_MODIFIER_CHANGED | Назначение (P1): 104 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:33 Msk] [TX_151] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:33 Msk] [TX_158] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:35 Msk] [TOP_GEN] Целевой Канал Шины: 0 | Интент: SET_SLOT_FOCUS | Конечная цель фокуса: 102
[03:44:35 Msk] [TX_162] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:35 Msk] [TX_164] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:35 Msk] [TX_163] Фасилити: 102 | Интент: SWITCH_SLOT_TAB | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [12]
[03:44:35 Msk] [TX_161] Фасилити: 0 | Интент: SET_SLOT_FOCUS | Назначение (P1): 0 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:35 Msk] [TX_168] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:35 Msk] [TX_169] Фасилити: 102 | Интент: INJECT_VFS_DATA | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:35 Msk] [TX_172] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:36 Msk] [TX_176] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:36 Msk] [TX_178] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:36 Msk] [TX_177] Фасилити: 102 | Интент: SWITCH_SLOT_TAB | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [12]
[03:44:36 Msk] [TX_182] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:36 Msk] [TX_183] Фасилити: 102 | Интент: INJECT_VFS_DATA | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:36 Msk] [TX_185] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:36 Msk] [TX_189] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:38 Msk] [TX_192] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:38 Msk] [TX_194] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:38 Msk] [TX_193] Фасилити: 102 | Интент: SWITCH_SLOT_TAB | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [12]
[03:44:38 Msk] [TX_198] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:38 Msk] [TX_199] Фасилити: 102 | Интент: INJECT_VFS_DATA | Назначение (P1): 102 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:38 Msk] [TX_201] Фасилити: 14 | Интент: SYNC_SCROLLBAR_METRICS | Назначение (P1): 14 | Статус TX: READY | Трасса ORIGINS: [102]
[03:44:39 Msk] [TX_205] Фасилити: 12 | Интент: TAB_CLICKED | Назначение (P1): 12 | Статус TX: READY | Трасса ORIGINS: [10]
[03:44:39 Msk] [TX_207] Фасилити: 108 | Интент: ADD_LOG_ENTRY | Назначение (P1): 108 | Статус TX: READY | Трасса ORIGINS: [10]
